"iMac 27"" 5K (Principios del 2019) Core i5 3,1 GHz - SSD 1 TB - 32GB Teclado español","2699,00"
"iMac 27"" 5K (Mediados del 2020) Core i5 3,3 GHz - SSD 512 GB - 8GB Teclado español","1899,00"
"iMac 27"" 5K (Mediados del 2020) Core i7 3,8 GHz - SSD 1 TB - 8GB Teclado español","2222,00"
"iMac 27"" 5K (Mediados del 2020) Core i7 3,8 GHz - SSD 1 TB - 32GB Teclado español","3114,00"
"Apple iMac 21,5” (Finales del 2013)","510,00"
"Apple iMac 21,5” (Principios del 2019)","1.299,00"
"Apple Imac 21,5” (Octubre 2012)","399,00"
"Apple iMac 21,5” (Finales del 2015)","409,00"
"Apple iMac 21,5” (Mediados del 2011)","339,00"
Apple iMac 27” (Mediados del 2011),"359,00"
"Apple iMac 21,5” (Mediados del 2017)","839,00"
"Apple iMac 21,5” (Junio 2011)","339,00"
Apple iMac 27” (Finales del 2013),"989,00"
"Apple iMac 21,5” (Junio 2017)","999,00"
Apple iMac 27” (Finales del 2015),"1.449,00"
Apple iMac 27” (Mediados del 2017),"2.064,00"
Apple iMac 27” (Principios del 2019),"2.299,00"
Apple iMac 27” (Mediados del 2020),"3.364,00"
"Apple iMac 21,5” (Mediados del 2014)","289,00"
Apple iMac 20” (Principios del 2009),"299,00"
"Apple iMac 21,5” (Mayo 2011)","319,00"
"Apple iMac 21,5” (Mediados del 2010)","339,00"
